CA,2024,0706,,Q04---,[ ],4,[ ];1;,
1,01AA,0706,9:53:19,Q04---,[ ]分子と分母をx-2で割ると，y=x+2となる．これは，傾き1，切片2の直線のグラフになるはずであるため．,,[ ]x+2となる．これは，傾き1，切片2の直線のグラフになるはずであるため．,
2,02BB,0706,9:46:38,Q04---,[ ]この関数は x=2 のときには定義できないはず,,[ ]2のときには定義できないはず,
3,03CC,0706,9:47:26,Q04---,[ ]x=2のところを空けていない。,,[ ]2のところを空けていない。,
4,04DD,,,Q04---,[ ]na,0,[ ]na,
5,05EE,0706,9:44:18,Q04---,[ ]x=2のときは定義されないから(2:3)は白丸になる．,,[ ]2のときは定義されないから(2:3)は白丸になる．,
6,06FF,,,Q04---,[ ]na,0,[ ]na,
7,07GG,,,Q04---,[ ]na,0,[ ]na,
8,08HH,,,Q04---,[ ]na,0,[ ]na,
9,09II,,,Q04---,[ ]na,0,[ ]na,
10,10JJ,,,Q04---,[ ]na,0,[ ]na,
11,11KK,,,Q04---,[ ]na,0,[ ]na,
12,12LL,,,Q04---,[ ]na,0,[ ]na,
13,13MM,,,Q04---,[ ]na,0,[ ]na,
14,14NN,,,Q04---,[ ]na,0,[ ]na,
15,15OO,,,Q04---,[ ]na,0,[ ]na,
16,16PP,,,Q04---,[ ]na,0,[ ]na,
17,17QQ,,,Q04---,[ ]na,0,[ ]na,
18,18RR,,,Q04---,[ ]na,0,[ ]na,
19,19SS,,,Q04---,[ ]na,0,[ ]na,
20,20TT,,,Q04---,[ ]na,0,[ ]na,
