CA,2024,0706,,Q07---,[],0,[];1;,
1,01AA,0706,11:48:7,Q07---,[]前回は昨年の夏ごろに参加させていただきました．//前回よりも使いやすくなっており，素晴らしいと思いました．//学生の立場ですので，私が教材を作成することは少ないかなと思いますが，//システムの仕組みについて理解することができ，楽しかったです．,,[]前回は昨年の夏ごろに参加させていただきました．//前回よりも使いやすくなっており，素晴らしいと思いました．//学生の立場ですので，私が教材を作成することは少ないかなと思いますが，//システムの仕組みについて理解することができ，楽しかったです．,
2,02BB,0706,11:59:22,Q07---,[]ありがとうございました。//面白かったです。,,[]ありがとうございました。//面白かったです。,
3,03CC,0706,12:4:38,Q07---,[]三角関数のグラフの振幅は，大日本図書「新基礎数学 改訂版」の// 教科書に定義されてないようです。//[]  スクリプト埋め込みに使えるコマンドのリストがどこにあるのか// 分かりました。今日はお疲れ様でした。有難うございます。,,[]三角関数のグラフの振幅は，大日本図書「新基礎数学改訂版」の//教科書に定義されてないようです。//スクリプト埋め込みに使えるコマンドのリストがどこにあるのか//分かりました。今日はお疲れ様でした。有難うございます。,
4,04DD,,,Q07---,[]na,0,[]na,
5,05EE,0706,11:47:35,Q07---,[]frなどで)がついたので入力が楽になったと思います．,,[]frなどで)がついたので入力が楽になったと思います．,
6,06FF,,,Q07---,[]na,0,[]na,
7,07GG,,,Q07---,[]na,0,[]na,
8,08HH,,,Q07---,[]na,0,[]na,
9,09II,,,Q07---,[]na,0,[]na,
10,10JJ,,,Q07---,[]na,0,[]na,
11,11KK,,,Q07---,[]na,0,[]na,
12,12LL,,,Q07---,[]na,0,[]na,
13,13MM,,,Q07---,[]na,0,[]na,
14,14NN,,,Q07---,[]na,0,[]na,
15,15OO,,,Q07---,[]na,0,[]na,
16,16PP,,,Q07---,[]na,0,[]na,
17,17QQ,,,Q07---,[]na,0,[]na,
18,18RR,,,Q07---,[]na,0,[]na,
19,19SS,,,Q07---,[]na,0,[]na,
20,20TT,,,Q07---,[]na,0,[]na,
