1,2023,0614,11:37:37,Q02---,[1]=  pC=[3，-2];,[2]=  Listplot("1"，[A，B，pC，A]，["dr，2"])
2,2023,0614,12:29:48,Q02---,[1]=  pC=[3，2];,[2]=  Listplot("1"，[A，B，pC，A]，[])
3,2023,0614,11:45:41,Q02---,[1]=  pC=[2，-2];,[2]=  Listplot("1"，[A，B，pC，A]，["dr，2"])
4,2023,0614,12:43:45,Q02---,[1]=  pC=[3，-3];,[2]=  Listplot("1"，[A，B，pC，A]，["dr，2"])
5,2023,0614,11:30:10,Q02---,[1]=  pC=[3，-3];,[2]=  Listplot("1"，[A，B，pC，A]，["dr，2"])
8,2023,0614,12:18:58,Q02---,[1]=  pC=[3，2];,[2]=   Listplot("1"，[A，B，pC，A]，["dr，2"])
9,2023,0614,12:19:6,Q02---,[1]=  [3，3];,[2]=  Listplot("1"，[A，B，pC，A]，["dr，2"])
11,2023,0614,11:30:23,Q02---,[1]=  pC=[3，-2];,[2]=  Listplot("1"，[A，B，pC，A]，["dr，2"])
12,2023,0614,11:45:43,Q02---,[1]=  pC=[3，-2];,[2]=  Listplot("1"，[A，B，C，A]，["dr，2"])
13,2023,0614,11:32:45,Q02---,[1]=  pC=[3，2];,[2]=  Listplot("1"，[A，B，pC，A]，["dr，2"])
14,2023,0614,11:30:27,Q02---,[1]=  pC=[3，-3];,[2]=  Listplot("1"，[A，B，pC，A]，["dr，2"])
16,2023,0614,11:59:49,Q02---,[1]=  pC=[4，-4];,[2]=  //Listplot("1"，[A，B，pC，A]，["dr，2"])
17,2023,0614,11:28:58,Q02---,[1]=  pC = [3， -2];,[2]=  Listplot("1"，[A， B， pC， A]，["dr，2"])
18,2023,0614,11:31:7,Q02---,[1]=  pC=[3，-2];,[2]=  Listplot("1"，[A，B，pC，A]，["dr，2"])
19,2023,0614,11:33:10,Q02---,[1]=  pC=[4，1];,[2]=  Listplot("1"，[A，B，pC，A]，["dr，2"])
21,2023,0614,11:34:44,Q02---,[1]=  pC=[2，-3];,[2]=  Listplot("1"，[A，B，pC，A]，["dr，2"])
22,2023,0614,11:38:32,Q02---,[1]=  pC=[3，-2];,[2]=  Listplot("1"，[A，B，pC，A]，["dr，2"])
24,2023,0614,11:30:1,Q02---,[1]=  pC=[3，-2];,[2]=  Listplot("1"，[A，B，pC，A]，["dr，2"])
25,2023,0614,11:30:40,Q02---,[1]=  pC=[3，-2];,[2]=  Listplot("1"，[A，B，pC，A]，["dr，2"])
26,2023,0614,11:30:44,Q02---,[1]=  pc=[2，-3];,[2]=  Listplot("1"，[A，B，pc，A]，["dr，2"])
27,2023,0614,11:35:25,Q02---,[1]=  pc=[3，5];,[2]=  Listplot("1"，[A，B，pc，A]，["dr，2"])
28,2023,0614,12:23:35,Q02---,[1]=  pC=[2，3];,[2]=  Listplot("1"，[A，B，pC，A]，["dr，2"])
29,2023,0614,11:37:37,Q02---,[1]=  pC =[2，-3];,[2]=  Listplot("1"，[A，B，pC，A]，["dr，2"])
31,2023,0614,11:34:44,Q02---,[1]=  pC=[3，4];,[2]=   Listplot("1"，[A，B，pC，A]，["dr，2"])
32,2023,0614,11:44:28,Q02---,[1]=  pc = [3，-1];,[2]=  Listplot("1"，[A，B，pc，A]，["dr，2"])
33,2023,0614,11:40:12,Q02---,[1]=  pC=[2，-3];,[2]=  Listplot("1"，[A，B，pC，A]，["dr，2"])
34,2023,0614,11:33:59,Q02---,[1]=  pc=[3，-2];,[2]=  Listplot("1"，[A，B，pc，A]，["dr，2"])
35,2023,0614,11:36:25,Q02---,[1]=  pC=[3，2];,[2]=  Listplot("1"，[A，B，pC，A]，["dr，2"])
36,2023,0614,11:38:18,Q02---,[1]=  pC=[3，-2];,[2]=  Listplot("1"，[A，B，pC，A]，["dr，2"])
37,2023,0614,11:30:41,Q02---,[1]=  pC=[3，-2];,[2]=  Listplot("1"，[A，B，pC，A]，["dr，2"])
41,2023,0614,11:30:16,Q02---,[1]=  pC=[3，-2];,[2]=  Listplot("1"，[A，B，pC，A]，["dr，2"])
42,2023,0614,11:39:30,Q02---,[1]=  pC=[3，-2];,[2]=
